config/bagging_fraction,config/bagging_freq,config/boost_from_average,config/boosting_type,config/feature_fraction,config/iterations,config/learning_rate,config/max_depth,config/metric,config/min_child_samples,config/min_data_in_leaf,config/num_leaves,config/num_threads,config/objective,config/reg_alpha,config/reg_lambda,config/seed,config/subsample_for_bin,config/tree_learner,config/use_missing,config/verbosity,mean_loss,time_total_s,training_iteration,trial_id
0.95049363163782,20,false,gbdt,0.10301790907127187,99999,0.0014510442567361023,-1,root_mean_squared_error,37,3,54,1,regression,0.10306593754817156,0.09915079968813009,99999,10,serial,True,1,1.9289131208317327,2707.8949189186096,1,cc72feae
0.9520486315442815,22,false,gbdt,0.13968339098867533,99999,0.0011515029586601333,-1,root_mean_squared_error,35,4,46,1,regression,0.0961330572540188,0.13532518380655814,99999,9,serial,True,1,1.9293063126857557,3505.786746740341,1,cc4aa8e6
0.965712904010393,19,false,gbdt,0.06761898085018261,99999,0.0011781590966887835,-1,root_mean_squared_error,34,5,54,1,regression,0.10070057781931355,0.05396711868183799,99999,1,serial,True,1,2.8203811726708805,1793.4208250045776,1,cbfcbdc0
0.9381576339673138,19,false,gbdt,0.09742821650579964,99999,0.0008841547270433526,-1,root_mean_squared_error,93,3,48,1,regression,0.13263441511614876,0.04194488043009334,99999,1,serial,True,1,2.8143938632373198,1861.972511291504,1,cc68e2b6
0.9447843049073914,22,false,gbdt,0.08266594436155875,99999,0.0010565987288193423,-1,root_mean_squared_error,73,4,48,1,regression,0.09543038971855129,0.08175793895782366,99999,14,serial,True,1,1.855010033302868,3588.046639442444,1,cc14bc86
0.9457075572896764,22,false,gbdt,0.11347604010362308,99999,0.0011281922014708553,-1,root_mean_squared_error,8,4,54,1,regression,0.10151679814888392,0.12152408163085363,99999,12,serial,True,1,1.8643541300674245,3311.750086784363,1,cbd0efe2
0.9685011800985793,18,false,gbdt,0.1427840574385602,99999,0.0012477955148621903,-1,root_mean_squared_error,95,5,54,1,regression,0.13172490410142187,0.09750074431239539,99999,13,serial,True,1,1.8454126474772548,2521.176257610321,1,cbe2dbf8
0.9452408403320645,19,false,gbdt,0.12016917831697001,99999,0.00125910375225123,-1,root_mean_squared_error,70,4,51,1,regression,0.11184215569068807,0.022792083561879308,99999,12,serial,True,1,1.8640556162457782,2859.1301770210266,1,cc54b25a
0.9500892982750003,22,false,gbdt,0.11125378234663719,99999,0.00106787544615532,-1,root_mean_squared_error,44,5,51,1,regression,0.13580516137245469,0.023887795940246377,99999,1,serial,True,1,2.7947393473486124,1470.8781089782715,1,cc364b94
0.9681634792071933,22,false,gbdt,0.09480364500367097,99999,0.001290898907081071,-1,root_mean_squared_error,72,4,49,1,regression,0.12667269380709922,0.10922294223754968,99999,10,serial,True,1,1.93530901348072,3602.6922488212585,1,cc2bfc84
0.9653370286919429,17,false,gbdt,0.11844009612074696,99999,0.000941237379331314,-1,root_mean_squared_error,90,4,51,1,regression,0.07975529998135752,0.13386194665047266,99999,14,serial,True,1,1.837065293595572,3433.5856013298035,1,cc5eccf4
