config/bagging_fraction,config/bagging_freq,config/boost_from_average,config/boosting_type,config/feature_fraction,config/iterations,config/learning_rate,config/max_depth,config/metric,config/min_data_in_leaf,config/num_leaves,config/num_threads,config/objective,config/reg_alpha,config/reg_lambda,config/seed,config/tree_learner,config/use_missing,config/verbosity,mean_loss,time_total_s,training_iteration,trial_id
0.947439219112622,18,false,gbdt,0.14160284568963802,99999,0.0008615578457902473,-1,root_mean_squared_error,4,53,1,regression,0.10783344121456538,0.14306465580100108,99999,serial,True,1,1.5189947134078168,4691.882922410965,1,4d5d0644
0.9677508279890435,17,false,gbdt,0.08852378251021147,99999,0.0012015208830071452,-1,root_mean_squared_error,6,51,1,regression,0.13773663144284487,0.07123978087615623,99999,serial,True,1,1.51638740229687,3490.4317483901978,1,b34d6e46
0.9333037372099534,18,false,gbdt,0.1322600953238609,99999,0.0013596951516080854,-1,root_mean_squared_error,4,46,1,regression,0.10901041572555467,0.1365199735349166,99999,serial,True,1,1.5185418724981792,3234.516571044922,1,b35a35f4
0.9521741881369064,18,false,gbdt,0.05940602072218982,99999,0.0013965009201454934,-1,root_mean_squared_error,4,52,1,regression,0.10884529052418995,0.13483024831053064,99999,serial,True,1,1.5230187035920832,3526.386030435562,1,5c3be88e
0.9577556373220791,18,false,gbdt,0.14989146140612564,99999,0.0008576199918213781,-1,root_mean_squared_error,4,51,1,regression,0.13412195978613897,0.08024067213273971,99999,serial,True,1,1.5213780071205714,4689.360337972641,1,157a0a46
0.9405773266402866,19,false,gbdt,0.10441294630261858,99999,0.0010364795745985275,-1,root_mean_squared_error,5,45,1,regression,0.10550436695957048,0.14967321469909894,99999,serial,True,1,1.5154766407421276,3963.823819160461,1,8d3af146
0.9460188954787175,19,false,gbdt,0.10223297751435056,99999,0.0010633251560251756,-1,root_mean_squared_error,4,45,1,regression,0.13139250755264775,0.11735753362917761,99999,serial,True,1,1.515370647616943,3938.3368163108826,1,084cdfc2
0.9687795261195726,20,false,gbdt,0.07137473850389982,99999,0.000800468915363735,-1,root_mean_squared_error,3,47,1,regression,0.1014340099236378,0.08029066585874406,99999,serial,True,1,1.515796387957396,5621.938464403153,1,14c32cd0
0.9558589581736958,18,false,gbdt,0.08739378509773212,99999,0.0012266371522266486,-1,root_mean_squared_error,5,48,1,regression,0.12326847978528527,0.0946680478959846,99999,serial,True,1,1.5151807998127669,3441.879428863525,1,b3daf734
0.9523073179319144,18,false,gbdt,0.11626123050881812,99999,0.001191380342194192,-1,root_mean_squared_error,5,54,1,regression,0.13586738777233195,0.06641673044356532,99999,serial,True,1,1.5169367369170492,3504.704013824463,1,b94cc736
0.9647640033738012,17,false,gbdt,0.0709202623307888,99999,0.0009108385894169919,-1,root_mean_squared_error,5,51,1,regression,0.14395813433569127,0.1092292256384601,99999,serial,True,1,1.5164679934352014,4788.68342590332,1,dd3e66ea
0.9482388546130982,18,false,gbdt,0.06596439171393717,99999,0.0009162352801088449,-1,root_mean_squared_error,4,54,1,regression,0.13250557265753787,0.006628559356384178,99999,serial,True,1,1.5238792096069784,5042.636946916579,1,6cce9286
0.9462970281602668,20,false,gbdt,0.11587339015163617,99999,0.0010059338689243401,-1,root_mean_squared_error,4,48,1,regression,0.11661150127088438,0.1104850063355135,99999,serial,True,1,1.5165301381702576,4107.370964050293,1,b3904716
0.9382442446559701,18,false,gbdt,0.05258562288232886,99999,0.0012101629611620058,-1,root_mean_squared_error,4,53,1,regression,0.12640410834752297,0.05193892381296505,99999,serial,True,1,1.5234485647358909,4119.692117214203,1,2ca0a402
0.9307119739771126,22,false,gbdt,0.1170428450243876,99999,0.0012873280656730127,-1,root_mean_squared_error,4,49,1,regression,0.12434883528778895,0.08519764159129617,99999,serial,True,1,1.5163057934794182,3353.9827659130096,1,64138412
0.9583966765907762,21,false,gbdt,0.10997938761523293,99999,0.0011919695425876451,-1,root_mean_squared_error,3,46,1,regression,0.11065728283515562,0.06816188543514504,99999,serial,True,1,1.5162004892045942,3585.247843027115,1,afd37a70
0.9513322204037011,18,false,gbdt,0.053761928349312656,99999,0.001195326965837023,-1,root_mean_squared_error,5,54,1,regression,0.13593315595800282,0.06298979808793576,99999,serial,True,1,1.523540614765439,4114.995088815689,1,88b9927c
0.9610954888544988,18,false,gbdt,0.057018483657534015,99999,0.0014819837459728634,-1,root_mean_squared_error,4,52,1,regression,0.10803424719876698,0.14143030364441173,99999,serial,True,1,1.5232582711987046,3309.2706582546234,1,d302c63e
0.9589299449430729,18,false,gbdt,0.13044626707101548,99999,0.0011357988633768018,-1,root_mean_squared_error,3,50,1,regression,0.08428048751130014,0.14303295990863846,99999,serial,True,1,1.5195583172368088,4096.684793949127,1,3a5657d2
0.9698950242617133,17,false,gbdt,0.12039144854798299,99999,0.0009217920889840382,-1,root_mean_squared_error,5,51,1,regression,0.1284054178867948,0.10958590532677967,99999,serial,True,1,1.517721861231094,4274.254281759262,1,4df8676a
0.9637505361460914,21,false,gbdt,0.08051681504588927,99999,0.0011204948743379914,-1,root_mean_squared_error,5,45,1,regression,0.12321017823080439,0.12636128272354713,99999,serial,True,1,1.5157079084542222,3889.9435153007507,1,ceed3c0a
0.953913365396736,20,false,gbdt,0.11022539048884683,99999,0.0008898581810340979,-1,root_mean_squared_error,5,52,1,regression,0.11770156984978138,0.09700321173534344,99999,serial,True,1,1.5173519514116276,4444.086525678636,1,b3bb000a
